tipo,poliza,fecha,cargos,concepto,procedencia,cuenta,nombre
Diario,105,23/06/2023,"1,600.00",Compras del 23/06/2023,Automática,560164603,Refacciones Jigger Comby
Diario,91,05/06/2023,"3,060.00",Compras del 05/06/2023,Automática,560163603,Refacciones Stork
Diario,94,08/06/2023,"4,700.00",Compras del 08/06/2023,Automática,560163603,Refacciones Stork
Diario,97,13/06/2023,"1,850.00",Compras del 13/06/2023,Automática,560163603,Refacciones Stork
Diario,88,01/06/2023,"3,087.35",Compras del 01/06/2023,Automática modificada,560161603,Refacciones y Accesorios
Diario,86,30/06/2023,"9,639.58",Amortizaciones del mes de Mayo 2023,Manual,560107710,Remodelaciones
Diario,86,30/06/2023,"4,540.66",Amortizaciones del mes de Mayo 2023,Manual,560107710,Remodelaciones
Diario,96,12/06/2023,"8,000.00",Compras del 12/06/2023,Automática,560109909,Renta de Inmuebles
Diario,97,13/06/2023,"7,000.00",Compras del 13/06/2023,Automática,560109909,Renta de Inmuebles
Diario,98,14/06/2023,"16,430.81",Compras del 14/06/2023,Automática,560109909,Renta de Inmuebles
Diario,90,03/06/2023,681.84,Compras del 03/06/2023,Automática,560103308,Servicio de Internet
Diario,90,03/06/2023,156,Compras del 03/06/2023,Automática,560103303,Servicio de Mensajería
Diario,88,01/06/2023,258.53,Compras del 01/06/2023,Automática modificada,560103321,Servicio monitoreo alarma
Diario,88,01/06/2023,959.45,Compras del 01/06/2023,Automática modificada,560103306,Sservicio de Telefonía Fija
